t|b
急 寻 瑞士 导游 兼 司机 ， 最 好 自备 7 座车 ！！ ！|我 有 7 座车 ， 租金 每天 450 ， 租 我 每天 750 ， 一 天 一千 两 百 瑞郎 ， 你们 包 吃 住 ， 包 保险 。 原意 的 话 我 马 上去 单位 请假
招聘 德语翻译 Dolmetscher Chinesisch-Deutsch 40%|" 本 帖 最后 由 SF1 于 2010-6-822:42 编辑 Wir suchen ab sofort f ü r unsere Praxis f ü r chinesische Medizin in Kanton Luzern Praxisassistent/ Praxisassistentin und Ü bersetzer/ Ü bersetzerin 40% , jeweils dienstags und donnerstags.
Sie sind f ü r das Ü bersetzen zwischen den Patienten und den chinesischen Ä rzten , sowie Sekretariatsarbeit in der Praxis zust ä ndig.
Wir wenden uns an eine pflichtbewusste und zuverl ä ssige Pers ö nlichkeit , die gute Kenntnisse in Deutsch und Chinesisch mitbringt.
Wir bieten gute Arbeitsbedingungen , angenehmes Arbeitsklima und markgerechte Entl ö hnung ( 13.Monatslohn ) .
Haben wir Ihr Interesse geweckt ?
Dann rufen Sie uns noch heute an : 07933882 86."
卢塞恩 中餐 招聘 service ( 已 过期 ）|" 本 帖 最后 由 ccr 于 2010-8-1621:42 编辑
此 招聘 已 过期 ！ "
招聘 7 月 2 日 及 14 日 伯尔尼 地区 翻译|" 本 帖 最后 由 汉升 旅游 于 2010-6-2410:37 编辑
特此 招聘 伯尔尼 地区 翻译 一 名 ， 共需 翻译 3 次 公务 。 要求 : 德语 ， 中文 流利 翻译 内容 ： 知识产权 （ 7 月 2 日 ） ， 税务 （ 7 月 14 日 ） ， 教育 体制 （ 7 月 14 日 ） 公务 地点 ： 伯尔尼 知识产权局 （ 7 月 2 日 下午 2 点 ） ， 伯尔尼 税务局 （ 7 月 14 日 上午 10 点 ） ， 伯尔尼 教育局 （ 7 月 14 日 下午 2 点 ） 公务 时间 ： 2 小时 工资 ： 一 场 翻译 100 CHF ， 交通费 另外 报销 。
有意者 请 联系 我们
座机 022125918274 ( 周 一 至 周五09:00-18:00 周六 至 周日 09:00-12:00 )
传真 02 2116942130
手机 01766 2001140 ( 周 一 至 周五09:00-21:00 周六 至 周日 09:00-12:00 )
Email info@eutravel4u.com"
找 女生 9 月 帮助 带 小孩|有 没 有 那个 MM 9 月 有空 帮助 带 小孩 的 呢 ? 只 管 早上 送 去 上学 , 下午 放学 去接 , 其他 时间 自由 包住 , 有 工资 , 从 8 月 31 号 开始 , 到 9 月 末 . 地点 是 日 内瓦 .
苏黎世 中餐厅 诚聘 全职 员工 一 名|" 工作 职位 ： 厨房 帮工
主要 工作 内容 ： 备料 ， 洗碗 等
要求 ： 有 证
有意者 请电 ： 0786835280 "
日内瓦 6 月 23 ， 24 日 做 翻译|" 我 这里 报 上来 一个 中国 团组 ， 前来 考察 瑞士 的 防治 吸毒 工作 。
需要 一 名 懂 医 的 学生 或 学者 做 翻译 ， 请 你 做 一个 群发 ， 是 有 报酬 的 工作 。
生物 和 化学 方面 的 学者 也 可以 。 时间 ： 6 月 23 日 全 天 ， 24 日 上午 两 小时 。 祝 好 翟 云
SUNlight ACT S.A.
10 , avenue de Secheron
1202 Geneve
Switzerland
Tel : 004 1227 411826/66
Fax : 004 1227412074
[ email=E-Mail % 3Ainfo@sunlightact.com]E-Mail : info@sunlightact.com [ /email ] www.sunlightact.com"
日内瓦 6 月 25 日 上午 翻译|有 兴趣 者 ， 直接 联系 。 你好 我 是 来自 法国 对外 促进 经济 贸易 协会 的 刘君 。 我们 有 个 中国 代表团 于 6 月 25 日 上午 在 日内瓦 市区 举行 2 个 小时 的 公务 会议 。 主题 是 关于 日内瓦 环境 保护 和 日内瓦 城市 建设 ， 低碳 生活 的 推广 。 因为 原先 合作 的 翻译 , 因为 世博 的 关系 提前 回国 了 , 所以 我们 紧急 希望 能够 推荐 在 日内瓦 读书 的 中国 留学生 担任 此次 有偿 翻译 的 工作 。 会议 全程 使用 英语 或 法语 。 非常 感谢 ！ 做 完 公务 翻译 活动 后 ， 我们 将 付 酬劳 。 有意者 ， 请 速 联系 我 ！ 刘 君 法国 对外 促进 贸易 协会 Our website : www.fecpi.comEmail : heidouliu@163 .com or heidouliu@ hotmail.comTell : 00862584650440 Fax : 00862584574650
洛桑餐馆 周末 找 服务员|" 本 帖 最后 由 潜水 王 于 2010-6-810:33 编辑
在 市中心 ， 要求 会餐馆 法语 ， 对 服务员 工作 熟习 。 每个 周日 上午 8 点 到 下午 3 点 ， 平时 做 PART TIME 的 。 一个 小时 15 郎 。 "
chercher une serveuse ou un serveur|Nous cherchons une serveuse ou un serveur du 11.juin au 1 1.juillet à 100% et environ 50% par la suite ( le soir et le week-end ) , 15 frs/h.la personne doit parler le fran ç ais ( pour prendre les commandes ).Le lieux de travail est à Vevey. Si vous ê tes int é ress é , appelez moi au 078-83025 45.
日内瓦 法语 翻译|" 法国 对外 促进 贸易 协会 招 2 个 小时 在 日内瓦 的 公务 会议 ， 主题 关于 低 碳环保 和 日内瓦 城市 建设 。 时间 是 6 月 25 日 左右 。 （ 目前 是 这么 定 行程 的 ， 还 待 最后 确认 ）
联系 : heidouliu@163 .com"
招聘 ： 暑假 工作 - 家庭 帮 杂工|" 本 帖 最后 由 david_ lee 于 2010-6-907:05 编辑
暑假 即 临 , 为了 给 学生 工作 机会 , 我家 正在 找 学生 暑假 期间 帮忙 做 些 杂工 , 包括 花园 整理 , 割 草 , 修枝 , 种花 , 种 树 , 搬运 , 锯木 , 钻孔 , 筑 篱笆 , 拆 杂物 , 打扫 , 漆 墙 , 粉刷 , 其他 杂工 , 等等 . 可以 包 吃 包住 . 可以 整 工 ( 星期一 到 星期五 ) 也 可以 周末 ( 星期六 , 日 ) , 地点 Biel- Bienne , 联系 0764 351333.
修改 版 beta1.001
鉴于 招聘 学生 有 贪便宜 的 嫌疑 , 本人 决定 是 学生 的 都 不 可以 来 我家 打工 , 是 农民 的 同胞 才 可以 打我 电话 来 我家 打 这 份 工 . 是 工人 的 同胞 马马虎虎 也 算 你 可以 吧 , 是 解放军 的 同胞 就 不行 了 .
还有 鉴于 地区性 的 差异 , 北京 , 上海 , 香港 , 澳门 , 台湾 , 省会 , 或者 人口 大于 500 万 的 大 城市 的 , 持有 当地 出生证 的 同胞 才 可以 到 我 这儿 打工 , 因为 他们 的 工资 比较 高 , 其他 地区 的 同胞 只能 case by case 逐一 考察 后 才 能 决定 ."
招聘 日内瓦 6 月 4 号 下午 法语 临时 翻译 一 名|" 我 公司 因为 工作 需要 在 6 月 4 号 下午 需要 聘 一 名 法语 翻译
要求 ： 法语 口语 流利
时间 ： 6 月 4 号 下午 3 点 开始 估计 1-2 小时 之间
酬劳 以及 支付 方式 ： 联系 上 具体 谈
联系方式 ：
邮箱 ： omylxs@ hotmail.com
QQ : 104 3015115
如果 能力 优秀 可以 长期 聘用 。 "
|
luzern 招聘 service 和 帮厨|我 餐厅 急需 2 名 学生 和 帮厨 ， 包 吃 住 。 有意者 请 来电 ， 0 414409933 ， 找 王 先生 。
招聘 日本餐 大厨|电话 0788103679
|
伯尔尼 - 全职 工作 机会|" Please include in your resume the authorization to Huawei to utilize your personnel data
能 怎么 利用 "
召 SERVICE|工作 地点 是 VEVEY ， 要求 会 法语 。 详情 短 信 联系 。
找 临时 翻译|找个 临时 翻译 这 周四 。 会法语 和 中文 的 就 行 。 。 日内瓦 需要 。 。 待遇 什么 的 我 不 是 很 清楚 可以 直接 和 我 联系 0041767505193
招聘 卢塞恩 德语 临时 翻译|" 因 工作 需要 在 6 月 22 日 与 外方 有 一 场 会议 交流 。
需要 德语 口语 流利者 翻译 一 名
德语 - 中文 口头 互 译
时间 6 月 22 日 上午 10 点 开始 大约 2 小时
薪酬 ： 80 欧元 / 场 两 小时
支付 方式 ： 会议 结束 现场 支付
如果 有 意者 请 及时 联系 我 ， 另外 如果 合作 愉快 可以 建立 长期 合作 关系 。 本 公司 长期 需要 翻译 / 。
联系方式 ：
邮箱 ： omylxs@ hotmail.com
QQ : 104 3015115 "
|
请 洛桑 和 日内瓦 的 朋友 看 过来 ， baby sitting 的 工作|" 本 帖 最后 由 bigstar 于 2010-5-516:23 编辑
我 的 一 位 朋友 想 给 她 的 女儿 找 一 名 会 中文 的 baby sitter 。 她 本人 会 普通话 和 粤语 ， 孩子 四 岁 半 ， 母语 是 法语 ， 但是 听 得懂 普通话 。 由于 朋友 的 工作 原因 ， 需要 洛桑 和 日内瓦 各 一 位 baby sitter （ 当然 ， 如果 有 哪位 朋友 同时 两 处 都 方便 的话 ， 更 好 ） 。
＝ ＝ 洛桑部分 ：
地点 ： St-Sulpice （ 距离 EPFL 和 洛桑 大学 走路 5 分钟 ）
工作 时间 ： 周一 、 二 、 四 、 五 的 下午 3 点 到 6 点 （ 8 月 23 日 开始 ）
＝ ＝ 日内瓦 部分 ：
主要 职责 ： 12 点 接 孩子 放学 ( 学校 在 Eaux Vives ) , 带 着 孩子 吃 午饭 ( 孩子 自带 午饭 便当 ) ， 陪 孩子 玩 到 下午 5 点
工作 时间 ： 周三 下午 （ 9 月份 开始 ）
baby sitting 的 工资 面谈
如果 有 朋友 感 兴趣 的话 ， 请 打电话 给 叶 女士 详谈 ， 0798 256369 ( 最好 下午 5 点 以后 ) "
招 女 实习生|" MONTREUX 旁边 小镇 的 中餐 急 招 酒店 女 实习生 一 名 ， 要求 有 责任心 ， 会 基本 的 餐饮业 法语 ， 基本 的 服务 ， 可 即刻 开工 ， 有意者 请 尽快 联系 ， 无 证 免谈
联系 电话 0764338898 "
聘请 零时 翻译|" 翻译 要求 ：
具备 生物学 、 医学 专业 知识 。
英语 流利 ， 懂 法语 、 德语 更 好 。
时间 是 5 月 18 日 - 20 日 ， 地点 ： 日内瓦 。
如果 有 兴趣 者 。 请 发 邮件 给 我 ， 告知 我 你们 的 酬劳 要求 。 谢谢 。 "
中国 餐馆 寻找 酒店 管理 女生|从 6 月 到 12 月 ， 地点 在 LAUSANNE ， 有 住宿 ， 电话 07883 13927
餐馆 招 楼面|餐馆 招人 ， 在 corserey , 靠近 弗莱堡 。 包 吃 住 。 请 联系 0764576831
聘请 翻译 ， 4 月 30 日|" 聘请 翻译 一 名
公务 内容 ： 保险 行业
时间 ： 4 月 30 日 上午 10:00-12:00
地点 ： 苏黎世
薪酬 ： 100 欧元 ( 公务 结束 后 当面 支付 )
有意者 请 联系 我们 ， 谢谢 ！
汉升 旅游 Hanson Travel
Poller Kirchweg.65
51105 Koeln ( Germany )
Tel+4922125918274
Fax+4922 129028 12
Web www.eutravel4u.com
Email info@eutravel4u.com"
餐馆 招人|诚 聘 楼面 和 厨房 。 有意者 请 联系 0764576831 。 找 张 先生
洛桑 中餐馆 招聘 酒店 学生|" 你们 好 ， 现 我们 招聘 酒店 管理 学生 做 实习 ， 6 月 初 开始 ， 6 个 月 ， 有 住房 ， 请 有意者 来电
07883 13927 谢谢 "
lausanne 麻将 餐馆 招聘 服务员|" 如 题 ， 招聘 持 有效 证件 的 服务员 一 名 ， 地址 在 ＳＴＦＲＡＮＣＯＩＳＥ 的 ＭＡＮＯＲ 餐厅 旁边 ， 具体 请 打电话 咨询
021 3290525 ＭＲ．Ｆ ＲＡＮＣＯ ， 需用 英文 或 法文 交流． "
高薪 招人|" 日内瓦 火车站 旁边 的 波 记 找 工人 ，
工资 3500 ， 电话 0797539738
打电话 进去 他们 要 说 没有 你 就 说 我 黄 美珍 介绍 的 他们 就 会 收 的 "
洛桑 中餐 招 服务员|洛桑 地区 中餐 招聘 服务员 ， 男女 不限 ， 会 法语 。 有意者 请 打 0798949909 。 多谢 多谢 。
|
洛桑 中餐 招 中 泰餐 厨师|洛桑 中餐 招 中 泰餐 厨师 ， 有意者 请 打 0798949909. 谢 了 。
|
洛桑 餐厅 寻找 parttime 洗 碗 工|" 洛桑 餐厅 寻找 parttime 洗 碗 工
请 联系 takaaki@ live.cn "
帮厨 已 找到 ， 招 楼面 长工|" 本 帖 最后 由 swissing 于 2010-2-2003:55 编辑
Fribourg 弗里堡 中餐 3 月 初 招 楼面 ，
待遇好 ， 包 吃 住 ， 能 上网 ～ 欲求 一 位 勤快 人 ， 会 法语 ， 有 经验 ， 长期 ， 有 证件 ， 证件 种类 不 限 ～
联系 电话 ： 026 4024202"
诚聘 有 没 有 懂 网站 建设 网页 设计 专业 的 朋友 阿|朋友 想 请 一个 这样 的 人 有意 的 留下 EMAIL
急 招 酒店 实习生|本 帖 最后 由 小缘 08 于 2010-3-2617:44 编辑 MONTREUX 旁边 小镇 的 中餐 急 招 酒店 实习生 一 名 ， 可 即刻 开工 ， 有意者 请 尽快 联系 ， 无 证 免谈 联系 电话 0764338898
聘 3 月 29 日 上午 英语口语 翻译 一 名|" 地址 ： 苏黎世
会议 时间 ： 3 月 29 号 上午 10 点 开始 大概 两 小时 左右
要求 ： 英语口语 流利
主要 内容 ： 关于 葡萄酒 方面
薪酬 ： 80 欧元 一 场 （ 两 小时 左右 ）
联系 方式 ： email/MSN : omylxs@ hotmail.com
QQ : 104 3015115 "
|
聘请 英文 翻译 日内瓦 国际 发明 展 4 月 20 日 到 25 日|" 从 邮箱 看 ， lz 自己 好像 会 点 法语 啊 。
我 不 会 德语 ， 也 没空 纯 帮 顶 。 "
法区 找 “ 实力 “ 大厨|" 诚聘 大厨 一 名
条件 ： 在 瑞士 至少 6 年 厨房 工作 经验 ， 大厨 经验 2 年 。
无 证 最 好 （ 汗 ！！ ！ ）
长工 ， 立即 可 上班 。
地点 法区 ， 工资 待遇好 商量 ， 重要 的 是 实力 和 诚意 。
有意者 站 内 联系 ， 绝对 速 回 。 "
洛桑餐馆 找 酒店 实习生 一 名|" 本 帖 最后 由 takaaki 于 2010-3-1812:42 编辑
洛桑餐馆 找 酒店 实习生 一 名 ， 5 月 3 日 开工 （ 6 月 开工 也 可 ）
男生 优先
发 简历 到 takaaki@ live.cn
然后 我们 给 你 回 电话 "
大家 请教 瑞士 在 哪儿 能 照 美国 签证 照片 ? ~ ~|" 大家 好 ~
请问 你们 知不知道 瑞士 哪儿 可以 照 美国 签证 照片 ？
好像 我 的 小 妹妹 想 去 美国 ~ (s2107a)
谢谢 大家 ~ ( s2143a ) "
招聘 翻译 一 名|本 公司 现阶段 开拓 海外 市场 ， 需要 招聘 一 名 在 国外 的 客服 人员 。 条件 ： 1. 英语 流畅 ， 有 一定 的 英文 沟通 能力 。 工作 内容 ： 1. 处理 客户 提 出 的 有关 于 产品 的 问题 和 邮件 。 待遇 ： 提成 制 , 年底 分红 。 如 有 感 兴趣 的 留学生 想 做 兼职 的 请 与 我 联系 ： MSN ： henry_ zhangvip@hotmail.com
洛桑 寿司 厂 招工|" 本 帖 最后 由 sweetsummer 于 2010-3-419:05 编辑
。 。 。 。 。 。 。 。 。 。 。 。 。 。 "
洛桑 寿司 厂 招工|" 招聘 ] 洛桑 寿司 厂 招工
洛桑 的 sushi 寿司 工厂 ， 现 招聘 员工 ， 长期 的 。
地点 是 ， 离 市中心 15 至 20 分钟 公车 。
须 至少 持有 B , 以上 证件 。 语言 中文 或 法语 ， 或 英语 。 会 其中 一 种 即 可 。
无 特殊 技能 要求 。
星期一 至 星期三 ， 5 点 到 13 点 左右 。 星期四 至 星期五 ， 5 点 到 14 点 。 周六 或 周日 的 其中 一 天 须 上班
免费 提供 午餐 。
工资 待遇 优厚 ，
请将 英文 或者 法语 简历 发 至 ken@covedis.ch
工作 细节 面谈 "
寻找 英汉 翻译 （ 圣 加伦 ）|如 题 ， 主要 是 英 译 汉 ， 或许 有 少量 的 德语 翻译 ， 时间 是 3 月 18-20 ， 请 感 兴趣 的 朋友 联系 ， qq546756802 ,
有 尝 带 物品 回国|" 有 谁 经常 出入 瑞士 和 上海 的 ？
如果 有 这样 的 同志 的 话
麻烦 告诉 我 下
前提 是 ， 行李 有 空间
想 让 您 帮 我 带 东西 回去
当然 是 付费 的
谢谢 啦 "
中医 诊所 招聘 女 翻译|" 中医 诊所 招聘 女 翻译 要求 条件 ：
人品好
语言 : 中文 , 法文 （ 口语 良好 ）
工作 地点 ： Martigny 50% -100%
有 经验 者 优先 取 录 , 無 经验 可 作 培訓 .
有意者 请 請電 ： 0786614358"
3 月 1 日 奔驰 活动 在 苏黎世 需要 助理 一 名|具体 什么 呢 ？ 不如 电话 联系 方便
招 办公室 文员 及 外勤|" 日内瓦 事务所 欲 找 一 名 半 工 。 办公室 文员 及 外勤 。
请 注意 ： 需要 有 瑞士 合法 居留 。 学生 身份 ， 配偶 等 都 可以 ， 但 一定 要 有 瑞士 合法 居留 （ 因为 试用 后 需要 签订 工作 合同 及 报税 ）
如 有意 请 与 我 联络 小米 永明 旅游 ------------------------------------------------------------------------- 全球 机票 销售 中国 签证 旅游 公务 接待 安排 酒店 待定 文件 公证 翻译 培训 Everbright S à rlrue Mercerie 12 Tel.02 13123991 Fax.02 13123992mi@everbright.ch "
找 一 份 保姆 工作|" 俺 没 钱 ， 真 糟糕 。 你 会 做 的 俺 都 喜欢 ， 俺 5 个 月 没有 喝 过 老 火靓 汤 啦 啊啊 啊啊 啊啊 啊啊 啊啊 啊 啊啊
祝 楼 主 早日 找到 工作 ， 到 时候 别 忘 了 请 俺 喝 一 口 汤 ， 最近 热气 啊 ， 来 个 海底 椰 炖竹丝 鸡 / 花旗参 煲 鸡 / 莲藕 绿豆 猪 骨 汤 。 。 。 。 。 。 。 。 。 "
LV 招聘 宣讲会 正式 通知|" 本 帖 最后 由 抗抗 于 2010-2-101 9:42 编辑 让 你 的 职业 生涯 一路 美景 —— LV& 苏黎世 学联 （ ACSSZ ） 联合 主办 LV 招聘 宣讲会 Topic : Make Your Career a Beautiful Journey
-Retail Career in Louis Vuitton , China
Time : Feb 12 , Friday 17：00-20：00
Location : ETH HG D 5.2 （ 瑞士 联邦 理工大学 主楼 D5.2 教室 ） 乘坐 Tram 6/9/10 均 可 达 ， 车站 名 ： ETH/UniversitaetsspitalPresenter : Phoebe CHANG
Human Resources Development Manager
Louis Vuitton , Paris Headquarter 热忱 欢迎 对 从事 LV 中国区 或 亚太区 销售 行业 有 兴趣 的 留学生 朋友 参与 ！ 愿 通过 我们 提供 的 交流 平台 ， 您 的 职业 生涯 能 一路 美景 ， 且 行 且 歌 ！ PS : 请 有意者 带 上 英文 简历 前往 苏黎世 学联 ACSSZ"
本店 招聘 女服务员|本 店 LAUSANNE 招聘 女服务员 1 位 ， 有 瑞士 居留证 的 优先 ， 07883 13927
诚聘 中国 乐器 演奏|诚聘 演奏 中国 乐器 的 朋友 ， 2 月 15 号 晚上 ， 会 古筝 的 优先 。 多谢 。
Montreux 中医 诊所 诚聘 中医师|" Montreux 中医 诊所 诚聘 中医师 一 名
正规 中医 学院 本科 毕业
具有 多年 针灸 ， 推拿 工作 经验
有 瑞士 或 欧盟 居留
月薪 税前 6500 瑞郎
每周 5 天 工作日
有意者 请将 个人 简历 ， 医师 资格 证书 ， 医师 执业 证书 及 毕业 文凭 发送 至 skwill@ live.cn
2 月份 可以 开始 工作者 优先 考虑
Clinique Phenix MTC
Rue de la paix 3
1820 Montreux
Suisse
Tel : 004 1789238823"
急 找 25 日 周 一 苏黎世 巴塞尔 学生 翻译 ， 行程 见 内|你 电话 号码 不对 的 嘛 ！
招聘 销售 人员|" 您好
我 是 一 名 刚刚 毕业 的 学生
熟悉 网络 在 国内 经常 网上 购物
我 会 英语 ， 正在 学习 法语
现在 一 家 酒店 实习
为了 改善 决 生活 问题 我 需要 一 份 兼职 工作
希望 您 能 认真 考虑 我 的 申请
谢谢 "
寻求 德语 翻译 一 名|" 本 帖 最后 由 逸人◆ 傲世 于 2010-1-2117:07 编辑
[ 兼职 ] 寻求 德语 翻译 一 名 （ 其他 事项 及 工资 面议 ） 。
能够 很 好 的 用 德语 写作 。
有意者 请 发 邮件 到 下面 的 邮箱 。 longqing0920@ hotmail.com"
